date,predictions
12-22,3746.0
12-23,5514.0
12-24,6477.0
12-25,5959.0
12-26,2918.0
12-27,4025.0
12-28,1305.0
12-29,1301.0
12-30,1884.0
12-31,1954.0
01-01,1662.0
01-02,805.0
01-03,495.0
01-04,717.0
01-05,894.0
01-06,462.0
01-07,655.0
01-08,823.0
01-09,345.0
01-10,1001.0
01-11,457.0
01-12,652.0
01-13,746.0
01-14,375.0
01-15,342.0
01-16,417.0
01-17,379.0
01-18,440.0
01-19,470.0
01-20,353.0
