date,predictions
12-22,3113.0
12-23,3230.0
12-24,4174.0
12-25,3433.0
12-26,4436.0
12-27,4753.0
12-28,3459.0
12-29,2918.0
12-30,2691.0
12-31,3115.0
01-01,3277.0
01-02,3527.0
01-03,6053.0
01-04,2890.0
01-05,1477.0
01-06,2009.0
01-07,2674.0
01-08,1377.0
01-09,2023.0
01-10,1636.0
01-11,1430.0
01-12,924.0
01-13,1048.0
01-14,715.0
01-15,1106.0
01-16,1331.0
01-17,1705.0
01-18,1050.0
01-19,661.0
01-20,782.0
