date,predictions
12-22,2099.0
12-23,2841.0
12-24,2558.0
12-25,2040.0
12-26,2881.0
12-27,2424.0
12-28,2631.0
12-29,2192.0
12-30,2174.0
12-31,1647.0
01-01,2118.0
01-02,2148.0
01-03,2559.0
01-04,2205.0
01-05,1948.0
01-06,2014.0
01-07,2294.0
01-08,2419.0
01-09,2008.0
01-10,2289.0
01-11,1534.0
01-12,2151.0
01-13,2328.0
01-14,1619.0
01-15,2132.0
01-16,2210.0
01-17,1461.0
01-18,1716.0
01-19,2162.0
01-20,1576.0
