Date,avg_price,median_price
2020-01-13T00:00:00.000000000,18581.53577,11800
2020-01-14T00:00:00.000000000,18546.77681,11800
2020-01-15T00:00:00.000000000,18540.09414,11800
2020-01-16T00:00:00.000000000,18496.99338,11800
2020-01-17T00:00:00.000000000,19208.3485,12000
2020-01-18T00:00:00.000000000,19416.16061,12000
2020-01-19T00:00:00.000000000,18395.37071,11699
2020-01-20T00:00:00.000000000,18371.52579,11500
2020-01-21T00:00:00.000000000,18415.21735,11500
2020-01-22T00:00:00.000000000,18468.6063,11700
2020-01-23T00:00:00.000000000,18488.37913,11869
2020-01-24T00:00:00.000000000,19376.63599,12000
2020-01-25T00:00:00.000000000,19686.87929,12000
2020-01-26T00:00:00.000000000,18813.56032,12000
2020-01-27T00:00:00.000000000,18983.65415,12000
2020-01-28T00:00:00.000000000,18919.89877,12000
2020-01-29T00:00:00.000000000,18920.30712,12000
2020-01-30T00:00:00.000000000,18902.68064,12000
2020-01-31T00:00:00.000000000,19551.994,12000
2020-02-01T00:00:00.000000000,19440.12804,12000
2020-02-02T00:00:00.000000000,18480.74922,12000
2020-02-03T00:00:00.000000000,18407.49844,11869
2020-02-04T00:00:00.000000000,18424.27237,11869
2020-02-05T00:00:00.000000000,18501.19599,11900
2020-02-06T00:00:00.000000000,18435.73932,11977
2020-02-07T00:00:00.000000000,19106.28733,12000
2020-02-08T00:00:00.000000000,19332.59695,12000
2020-02-09T00:00:00.000000000,18507.22327,11999
2020-02-10T00:00:00.000000000,18737.63996,12000
2020-02-11T00:00:00.000000000,18406.41833,11869
2020-02-12T00:00:00.000000000,18391.85139,11800
2020-02-13T00:00:00.000000000,18406.7334,11869
2020-02-14T00:00:00.000000000,19092.63918,12000
2020-02-15T00:00:00.000000000,19273.81055,12000
2020-02-16T00:00:00.000000000,18752.1144,11869
2020-02-17T00:00:00.000000000,18325.93914,11800
2020-02-18T00:00:00.000000000,18562.47834,11800
2020-02-19T00:00:00.000000000,18571.7959,11869
2020-02-20T00:00:00.000000000,18586.74377,11900
2020-02-21T00:00:00.000000000,19295.93064,12000
2020-02-22T00:00:00.000000000,19588.88498,12000
2020-02-23T00:00:00.000000000,19147.7479,12000
2020-02-24T00:00:00.000000000,18605.67371,11869
2020-02-25T00:00:00.000000000,18592.60263,11869
2020-02-26T00:00:00.000000000,18595.34305,11869
2020-02-27T00:00:00.000000000,18613.42682,11900
2020-02-28T00:00:00.000000000,19309.24252,12000
2020-02-29T00:00:00.000000000,19503.3884,12000
2020-03-01T00:00:00.000000000,20311.83954,12000
2020-03-02T00:00:00.000000000,20263.33526,12000
2020-03-03T00:00:00.000000000,20284.51839,12000
2020-03-04T00:00:00.000000000,20300.12056,12000
2020-03-05T00:00:00.000000000,20322.5943,12000
2020-03-06T00:00:00.000000000,20684.40002,12000
2020-03-07T00:00:00.000000000,20905.88295,12000
2020-03-08T00:00:00.000000000,20243.73293,12000
2020-03-09T00:00:00.000000000,20304.01909,12000
2020-03-10T00:00:00.000000000,20357.67815,12000
2020-03-11T00:00:00.000000000,20376.15111,12000
2020-03-12T00:00:00.000000000,20406.89721,12000
2020-03-13T00:00:00.000000000,20878.27502,12000
2020-03-14T00:00:00.000000000,21085.15719,12100
2020-03-15T00:00:00.000000000,20889.8146,12000
2020-03-16T00:00:00.000000000,20986.81149,12000
2020-03-17T00:00:00.000000000,21022.78865,12000
2020-03-18T00:00:00.000000000,21082.54777,12000
2020-03-19T00:00:00.000000000,21517.96275,12000
2020-03-20T00:00:00.000000000,22557.79917,13000
2020-03-21T00:00:00.000000000,22722.54536,13000
2020-03-22T00:00:00.000000000,22784.57364,13000
2020-03-23T00:00:00.000000000,22818.98278,13000
2020-03-24T00:00:00.000000000,23038.59048,13000
2020-03-25T00:00:00.000000000,23240.60458,13000
2020-03-26T00:00:00.000000000,23344.41319,13000
2020-03-27T00:00:00.000000000,24743.31788,13800
2020-03-28T00:00:00.000000000,25470.7306,14000
2020-03-29T00:00:00.000000000,25443.93734,13500
2020-03-30T00:00:00.000000000,25429.93392,13500
2020-03-31T00:00:00.000000000,25618.25078,13500
2020-04-01T00:00:00.000000000,24897.84687,13591
2020-04-02T00:00:00.000000000,24898.7433,13500
2020-04-03T00:00:00.000000000,24918.85528,13999
2020-04-04T00:00:00.000000000,25030.30011,14000
2020-04-05T00:00:00.000000000,24775.00857,13488
2020-04-06T00:00:00.000000000,24712.84554,13000
2020-04-07T00:00:00.000000000,24674.8937,13000
2020-04-08T00:00:00.000000000,24629.93812,13000
2020-04-09T00:00:00.000000000,24606.16919,13000
2020-04-10T00:00:00.000000000,24577.20122,13500
2020-04-11T00:00:00.000000000,24525.61674,13500
2020-04-12T00:00:00.000000000,23777.00935,12800
2020-04-13T00:00:00.000000000,23608.15703,12500
2020-04-14T00:00:00.000000000,23577.28172,12500
2020-04-15T00:00:00.000000000,23351.75436,12500
2020-04-16T00:00:00.000000000,23187.83907,12000
2020-04-17T00:00:00.000000000,23467.90609,12900
2020-04-18T00:00:00.000000000,23572.8831,13000
2020-04-19T00:00:00.000000000,23074.74267,12000
2020-04-20T00:00:00.000000000,23026.85045,12000
2020-04-21T00:00:00.000000000,22971.82403,12000
2020-04-22T00:00:00.000000000,22967.12079,12000
2020-04-23T00:00:00.000000000,22932.70667,12000
2020-04-24T00:00:00.000000000,23398.64456,12750
2020-04-25T00:00:00.000000000,23582.27541,12948
2020-04-26T00:00:00.000000000,22982.42004,12000
2020-04-27T00:00:00.000000000,22969.50444,12000
2020-04-28T00:00:00.000000000,23290.77751,12000
2020-04-29T00:00:00.000000000,23397.88186,12000
2020-04-30T00:00:00.000000000,23454.9181,12300
2020-05-01T00:00:00.000000000,23499.55743,13000
2020-05-02T00:00:00.000000000,23716.8782,13000
2020-05-03T00:00:00.000000000,23817.42581,12500
2020-05-04T00:00:00.000000000,23724.44615,12500
2020-05-05T00:00:00.000000000,23589.46696,12100
2020-05-06T00:00:00.000000000,23162.10045,12000
2020-05-07T00:00:00.000000000,23094.8884,12000
2020-05-08T00:00:00.000000000,23255.13303,12499
2020-05-09T00:00:00.000000000,23307.66552,12500
2020-05-10T00:00:00.000000000,22514.98901,12000
2020-05-11T00:00:00.000000000,22436.68571,12000
2020-05-12T00:00:00.000000000,22436.83806,12000
2020-05-13T00:00:00.000000000,22440.78522,12000
2020-05-14T00:00:00.000000000,22440.92908,12000
2020-05-15T00:00:00.000000000,22731.08744,12000
2020-05-16T00:00:00.000000000,22890.49906,12100
2020-05-17T00:00:00.000000000,22524.86113,12000
2020-05-18T00:00:00.000000000,22504.06577,12000
2020-05-19T00:00:00.000000000,22515.22927,12000
2020-05-20T00:00:00.000000000,22505.34445,12000
2020-05-21T00:00:00.000000000,22554.90493,12000
2020-05-22T00:00:00.000000000,22839.35209,12000
2020-05-23T00:00:00.000000000,22935.76808,12200
2020-05-24T00:00:00.000000000,22553.61043,12000
2020-05-25T00:00:00.000000000,22548.48862,12000
2020-05-26T00:00:00.000000000,22533.0194,12000
2020-05-27T00:00:00.000000000,22562.19568,12000
2020-05-28T00:00:00.000000000,22569.28172,12000
2020-05-29T00:00:00.000000000,22875.24868,12014
2020-05-30T00:00:00.000000000,22955.95231,12499
2020-05-31T00:00:00.000000000,22566.61666,12000
2020-06-01T00:00:00.000000000,23521.8372,12000
2020-06-02T00:00:00.000000000,23603.06445,12000
2020-06-03T00:00:00.000000000,23624.47335,12000
2020-06-04T00:00:00.000000000,23633.52213,12000
2020-06-05T00:00:00.000000000,23680.16397,12325
2020-06-06T00:00:00.000000000,23769.37274,12500
2020-06-07T00:00:00.000000000,23411.06811,12000
2020-06-08T00:00:00.000000000,23374.3044,12000
2020-06-09T00:00:00.000000000,23377.65578,12000
2020-06-10T00:00:00.000000000,23311.11588,12000
2020-06-11T00:00:00.000000000,23330.38872,12000
2020-06-12T00:00:00.000000000,23388.11635,12400
2020-06-13T00:00:00.000000000,23490.28117,12500
2020-06-14T00:00:00.000000000,23362.089,12000
2020-06-15T00:00:00.000000000,23308.40376,12000
2020-06-16T00:00:00.000000000,23352.31421,12000
2020-06-17T00:00:00.000000000,23347.89098,12000
2020-06-18T00:00:00.000000000,23365.92277,12000
2020-06-19T00:00:00.000000000,23438.75382,12500
2020-06-20T00:00:00.000000000,23543.45932,12500
2020-06-21T00:00:00.000000000,23467.8086,12000
2020-06-22T00:00:00.000000000,23459.91077,12000
2020-06-23T00:00:00.000000000,23436.7387,12000
2020-06-24T00:00:00.000000000,23445.34772,12000
2020-06-25T00:00:00.000000000,23477.90079,12000
2020-06-26T00:00:00.000000000,23703.32676,12500
2020-06-27T00:00:00.000000000,23836.32185,12600
2020-06-28T00:00:00.000000000,23810.63007,12000
2020-06-29T00:00:00.000000000,23807.67308,12000
2020-06-30T00:00:00.000000000,23841.95075,12000
2020-07-01T00:00:00.000000000,31825.68805,13200
2020-07-02T00:00:00.000000000,31831.36612,13126
2020-07-03T00:00:00.000000000,31847.24345,14000
2020-07-04T00:00:00.000000000,31881.88583,14000
2020-07-05T00:00:00.000000000,32037.50281,13420
2020-07-06T00:00:00.000000000,32037.76816,13200
2020-07-07T00:00:00.000000000,32085.94124,13200
2020-07-08T00:00:00.000000000,32083.73317,13209.5
2020-07-09T00:00:00.000000000,32102.32832,13236
2020-07-10T00:00:00.000000000,32774.96267,14000
2020-07-11T00:00:00.000000000,33038.86947,14000
2020-07-12T00:00:00.000000000,33516.03725,13800
2020-07-13T00:00:00.000000000,33563.61269,13800
2020-07-14T00:00:00.000000000,33691.94786,13900
2020-07-15T00:00:00.000000000,35100.00078,14000
2020-07-16T00:00:00.000000000,35379.63014,14000
2020-07-17T00:00:00.000000000,36509.43719,15000
