,Score,city
1,85.08640000000000,Los Angeles
2,89.82310000000000,Los Angeles
3,108.09190000000000,Los Angeles
4,98.6623,Los Angeles
5,101.56100000000000,Los Angeles
6,97.2262,Los Angeles
7,95.53320000000000,Los Angeles
8,86.9295,Los Angeles
9,92.8458,Los Angeles
10,88.80050000000000,Los Angeles
11,92.79370000000000,Los Angeles
12,104.65210000000000,Los Angeles
13,89.24110000000000,Los Angeles
14,71.79030000000000,Los Angeles
15,98.47880000000000,Los Angeles
16,90.25750000000000,Los Angeles
17,89.25179999999990,Los Angeles
18,84.75000000000010,Los Angeles
19,83.64329999999990,Los Angeles
20,85.05819999999990,Los Angeles
21,87.88430000000000,Los Angeles
22,91.10019999999990,Los Angeles
23,91.3766,Los Angeles
24,95.86309999999990,Los Angeles
25,96.48449999999990,Los Angeles
26,103.94320000000000,Los Angeles
27,82.94710000000000,Los Angeles
28,82.49730000000010,Los Angeles
29,81.9429,Los Angeles
30,88.59130000000000,Los Angeles
31,84.03910000000000,Los Angeles
32,83.17650000000010,Los Angeles
33,92.07630000000010,Los Angeles
34,98.42529999999990,Los Angeles
35,108.21450000000000,Los Angeles
36,76.11390000000000,Los Angeles
37,87.91490000000000,Los Angeles
38,94.49670000000010,Los Angeles
39,87.17790000000010,Los Angeles
40,92.71150000000000,Los Angeles
41,85.37260000000000,Los Angeles
42,94.73269999999990,Los Angeles
43,100.62330000000000,Los Angeles
44,103.82170000000000,Los Angeles
45,85.93970000000000,Los Angeles
46,83.90429999999990,Los Angeles
47,76.69850000000000,Los Angeles
48,102.77780000000000,Los Angeles
49,105.9311000000000,Los Angeles
50,104.75580000000000,Los Angeles
51,108.52840000000000,Los Angeles
52,109.57730000000000,Los Angeles
53,116.59470000000000,Los Angeles
54,70.40230000000000,Los Angeles
55,84.45629999999990,Los Angeles
56,94.02020000000000,Los Angeles
57,102.57690000000000,Los Angeles
58,95.52100000000000,Los Angeles
59,91.83629999999990,Los Angeles
60,93.1391999999999,Los Angeles
61,98.1531,Los Angeles
62,89.90450000000000,Los Angeles
63,94.4855,Los Angeles
64,87.4874,Los Angeles
65,86.69359999999990,Los Angeles
66,97.10890000000000,Los Angeles
67,92.94870000000000,Los Angeles
68,88.17920000000000,Los Angeles
69,73.8438,Los Angeles
70,83.43920000000000,Los Angeles
71,84.50800000000000,Los Angeles
72,76.81390000000000,Los Angeles
73,82.89210000000000,Los Angeles
74,82.8345,Los Angeles
