date,predictions
12-22,157.78
12-23,162.97
12-24,167.04
12-25,173.5
12-26,164.06
12-27,165.43
12-28,164.76
12-29,174.58
12-30,166.84
12-31,168.63
01-01,164.19
01-02,160.36
01-03,158.03
01-04,183.9
01-05,165.92
01-06,179.04
01-07,182.8
01-08,164.99
01-09,168.94
01-10,180.48
01-11,161.89
01-12,176.24
01-13,182.57
01-14,185.68
01-15,185.31
01-16,168.35
01-17,168.93
01-18,155.32
01-19,170.74
01-20,172.19
