date,predictions
12-22,155.11
12-23,150.75
12-24,148.12
12-25,156.91
12-26,170.89
12-27,164.53
12-28,150.84
12-29,137.58
12-30,149.68
12-31,143.78
01-01,149.81
01-02,141.3
01-03,133.94
01-04,150.78
01-05,135.63
01-06,146.11
01-07,164.8
01-08,149.34
01-09,148.37
01-10,150.68
01-11,144.21
01-12,156.89
01-13,146.43
01-14,159.6
01-15,155.23
01-16,144.0
01-17,147.95
01-18,135.16
01-19,156.1
01-20,148.07
