DateTime,Score
2021-11-17-21-20,85.08640000000003
2021-11-17-21-22,89.82309999999998
2021-11-18-03-38,108.09190000000002
2021-11-18-03-39,98.66229999999999
2021-11-18-03-41,101.56099999999988
2021-11-18-03-42,97.22619999999999
2021-11-18-03-44,95.53319999999995
2021-11-18-03-45,86.9295
2021-11-18-03-58,92.8458
2021-11-18-03-59,88.80049999999999
2021-11-18-04-00,92.79370000000003
2021-11-18-04-13,104.65210000000005
2021-11-18-04-14,89.24110000000005
2021-11-18-04-16,71.79029999999995
2021-11-18-04-28,98.47880000000004
2021-11-18-04-30,90.25749999999996
2021-11-18-04-31,89.25179999999986
2021-11-18-04-44,84.75000000000009
2021-11-18-04-45,83.64329999999993
2021-11-18-04-47,85.05819999999994
2021-11-18-04-59,87.88429999999998
2021-11-18-05-01,91.10019999999992
2021-11-18-05-02,91.3766
2021-11-18-05-15,95.86309999999993
2021-11-18-05-16,96.48449999999988
2021-11-18-05-18,103.94319999999982
2021-11-18-05-30,82.94709999999999
2021-11-18-05-32,82.49730000000005
2021-11-18-05-33,81.9429
2021-11-18-05-46,88.59129999999998
2021-11-18-05-47,84.03910000000005
2021-11-18-05-49,83.17650000000009
2021-11-18-06-01,92.07630000000003
2021-11-18-06-02,98.42529999999994
2021-11-18-06-04,108.21449999999987
2021-11-18-06-16,76.11389999999999
2021-11-18-06-18,87.91489999999996
2021-11-18-06-19,94.49670000000005
2021-11-18-06-32,87.17790000000005
2021-11-18-06-33,92.71150000000004
2021-11-18-06-35,85.37259999999999
2021-11-18-06-47,94.73269999999991
2021-11-18-06-49,100.62329999999994
2021-11-18-06-50,103.82169999999996
2021-11-18-07-03,85.93969999999997
2021-11-18-07-04,83.90429999999992
2021-11-18-07-06,76.69849999999997
2021-11-18-07-18,102.77779999999987
2021-11-18-07-20,105.9310999999999
2021-11-18-07-21,104.75579999999994
2021-11-18-07-34,108.52839999999998
2021-11-18-07-35,109.5772999999999
2021-11-18-07-37,116.59469999999992
2021-11-18-07-49,70.40229999999998
2021-11-18-07-51,84.45629999999994
2021-11-18-07-52,94.02019999999997
2021-11-18-08-05,102.57689999999991
2021-11-18-08-06,95.52099999999997
2021-11-18-08-07,91.83629999999992
2021-11-18-08-20,93.1391999999999
2021-11-18-08-21,98.1531
2021-11-18-08-23,89.90450000000001
2021-11-18-08-35,94.48549999999999
2021-11-18-08-37,87.4874
2021-11-18-08-38,86.69359999999995
2021-11-18-08-51,97.10889999999996
2021-11-18-08-52,92.94869999999997
2021-11-18-08-54,88.17919999999998
2021-11-18-09-06,73.8438
2021-11-18-09-08,83.43920000000003
2021-11-18-09-09,84.50799999999998
2021-11-18-09-22,76.81390000000002
2021-11-18-09-23,82.89209999999999
2021-11-18-09-25,82.8345
2021-11-18-09-37,89.75839999999998
2021-11-18-09-39,87.4563
2021-11-18-09-40,89.47040000000001
2021-11-18-09-53,103.25619999999991
2021-11-18-09-54,101.58039999999991
2021-11-18-09-56,100.11509999999994
2021-11-18-10-08,93.81069999999997
2021-11-18-10-09,97.43919999999999
2021-11-18-10-11,90.8953
2021-11-18-10-23,85.9554
2021-11-18-10-25,76.88990000000005
2021-11-18-10-26,77.17190000000004
2021-11-18-10-39,99.06890000000003
2021-11-18-10-40,96.7536
2021-11-18-10-42,97.00559999999994
2021-11-18-10-54,87.92840000000007
2021-11-18-10-56,91.14250000000006
2021-11-18-10-57,87.89490000000006
2021-11-18-11-10,82.87839999999997
2021-11-18-11-11,81.69910000000002
2021-11-18-11-13,75.06820000000003
2021-11-18-11-25,71.67809999999996
2021-11-18-11-27,80.15549999999993
2021-11-18-11-28,77.41239999999995
2021-11-18-11-41,113.99069999999985
2021-11-18-11-42,112.44399999999979
2021-11-18-11-44,115.0850999999998
2021-11-18-11-56,86.95389999999996
2021-11-18-11-58,84.35599999999997
2021-11-18-11-59,83.1096999999999
2021-11-18-12-12,97.48170000000003
2021-11-18-12-13,98.07910000000003
2021-11-18-12-15,96.81390000000002
2021-11-18-12-27,83.16470000000002
2021-11-18-12-29,85.05640000000001
2021-11-18-12-30,93.54729999999996
2021-11-18-12-43,121.59039999999985
2021-11-18-12-44,122.63389999999981
2021-11-18-12-46,119.02439999999977
2021-11-18-12-58,91.57979999999996
2021-11-18-13-00,97.20270000000002
2021-11-18-13-01,101.6829
2021-11-18-13-14,94.06399999999994
2021-11-18-13-15,91.30009999999999
2021-11-18-13-17,92.74849999999991
2021-11-18-13-29,95.9383
2021-11-18-13-31,99.20590000000001
2021-11-18-13-32,109.15980000000013
2021-11-18-13-45,79.02099999999997
2021-11-18-13-46,85.37549999999996
2021-11-18-13-48,85.83510000000001
2021-11-18-14-00,122.02829999999994
2021-11-18-14-02,134.13130000000004
2021-11-18-14-03,144.80439999999993
2021-11-18-14-16,75.84540000000008
2021-11-18-14-17,85.35269999999987
2021-11-18-14-19,94.2264
2021-11-18-14-31,102.12109999999998
2021-11-18-14-33,105.56709999999993
2021-11-18-14-34,107.00669999999992
2021-11-18-14-47,106.30009999999993
2021-11-18-14-49,101.56449999999998
2021-11-18-14-51,107.33129999999993
2021-11-18-15-03,114.82229999999988
2021-11-18-15-05,123.57999999999987
2021-11-18-15-07,99.77909999999993
2021-11-18-15-18,100.72279999999998
2021-11-18-15-20,106.95189999999987
2021-11-18-15-23,116.20789999999991
2021-11-18-15-34,118.90469999999993
2021-11-18-15-36,100.44629999999997
2021-11-18-15-38,89.41649999999994
2021-11-18-15-49,115.43969999999986
2021-11-18-15-51,106.91099999999987
2021-11-18-15-53,98.58169999999996
