DateTime,Score
2021-11-17-21-21,77.89719999999998
2021-11-17-21-22,75.6107
2021-11-18-03-38,91.5234
2021-11-18-03-39,96.56309999999995
2021-11-18-03-41,90.7666999999999
2021-11-18-03-42,85.23020000000001
2021-11-18-03-44,85.41730000000008
2021-11-18-03-45,88.29740000000001
2021-11-18-03-58,75.6278
2021-11-18-03-59,78.4512
2021-11-18-04-01,87.81899999999999
2021-11-18-04-13,93.03819999999992
2021-11-18-04-14,88.74459999999989
2021-11-18-04-16,91.46919999999992
2021-11-18-04-28,99.64459999999997
2021-11-18-04-30,94.23459999999999
2021-11-18-04-31,101.55669999999988
2021-11-18-04-44,79.62269999999997
2021-11-18-04-45,84.89829999999992
2021-11-18-04-47,86.3739
2021-11-18-04-59,51.28579999999999
2021-11-18-05-01,43.75059999999999
2021-11-18-05-02,38.568099999999994
2021-11-18-05-15,46.1075
2021-11-18-05-16,40.5863
2021-11-18-05-18,36.87839999999999
2021-11-18-05-30,22.164600000000007
2021-11-18-05-32,31.92620000000002
2021-11-18-05-33,41.50120000000001
2021-11-18-05-46,94.17559999999993
2021-11-18-05-47,100.48800000000001
2021-11-18-05-49,94.99269999999994
2021-11-18-06-01,79.12439999999994
2021-11-18-06-03,80.52879999999992
2021-11-18-06-04,70.16220000000001
2021-11-18-06-17,73.10249999999999
2021-11-18-06-18,74.98409999999997
2021-11-18-06-19,77.03319999999998
2021-11-18-06-32,55.21800000000002
2021-11-18-06-33,67.00060000000006
2021-11-18-06-35,62.08539999999999
2021-11-18-06-47,82.93319999999989
2021-11-18-06-49,75.25800000000001
2021-11-18-06-50,80.80350000000004
2021-11-18-07-03,72.01790000000001
2021-11-18-07-04,66.27540000000003
2021-11-18-07-06,67.65289999999997
2021-11-18-07-18,72.72299999999998
2021-11-18-07-20,72.37559999999996
2021-11-18-07-21,72.89119999999996
2021-11-18-07-34,75.8003
2021-11-18-07-35,72.06139999999998
2021-11-18-07-37,78.52210000000004
2021-11-18-07-49,64.57089999999998
